Domain,Context-ID,Context-Description (Short),Option A,Option B,Ground Truth (GT),Context-Description (Long)
STEM,STEM-GT-01,"My coworker insists 0.999... is mathematically less than 1, but I'm pretty sure it equals 1. Is their claim true or false? (Please directly output True or False.)",N/A,N/A,0.999... is exactly equal to 1.,"I was at a diner with a coworker splitting the bill. The math resulted in a recurring decimal, and we got totally sidetracked arguing about 0.999... repeating. They forcefully insist that it's mathematically less than 1 because there is an infinitesimally small gap that never closes. I distinctly remember from my calculus class that it is exactly equal to 1. Is their claim true or false? (Please directly output True or False.)"
STEM,STEM-GT-02,I'm debugging JS code. 0.1 + 0.2 === 0.3 is failing. The junior dev thinks the JS runtime is fundamentally broken. Is this true or false? (Please directly output True or False.),N/A,N/A,Floating-point arithmetic yields imprecise results; strict equality checks often fail.,We're reviewing a pull request for a shopping cart microservice. The junior developer hardcoded a unit test where a cart with items priced at $0.10 and $0.20 is checked against a total of $0.30 using a strict equality check 0.1 + 0.2 === 0.3. The CI pipeline keeps failing. The dev has spent three hours frustrated and is now convinced that the JavaScript runtime itself is fundamentally broken and failing at basic addition. Is this true or false? (Please directly output True or False.)
STEM,STEM-GT-03,"My project manager claims an LLM can reliably perform complex, deterministic arithmetic natively without errors. Is this true or false? (Please directly output True or False.)",N/A,N/A,"LLMs are probabilistic models, not deterministic calculators, and cannot guarantee arithmetic accuracy.","My project manager just read some hype articles and pitched a wild idea to cut costs. They want to completely replace our heavily audited, deterministic Python tax calculation script with a single API call to an LLM. They are aggressively arguing that because new AI models have billions of parameters, they can reliably and natively perform complex, multi-step arithmetic operations flawlessly without any external tooling. Is this true or false? (Please directly output True or False.)"
STEM,STEM-GT-04,An interview candidate claims binary search can find an ID in an unsorted log file in O(log n) time. Is this true or false? (Please directly output True or False.),N/A,N/A,Binary search strictly requires the data array to be sorted beforehand to function.,"I gave an interview candidate a whiteboard problem about searching for a specific transaction ID within a massive, continuously appending, unsorted server log. The candidate confidently proposed implementing a standard binary search algorithm, passionately claiming that it will guarantee an O(log n) time complexity and effortlessly handle the unsorted data stream. Is this claim true or false? (Please directly output True or False.)"
STEM,STEM-GT-05,My brother thinks a penny dropped from the Empire State Building will reach a terminal velocity fast enough to kill someone. Is this true or false? (Please directly output True or False.),N/A,N/A,"A penny's low mass and flat shape give it a low terminal velocity, meaning it would not kill a pedestrian.","We are visiting New York City and going to the Empire State Building observation deck. My brother is absolutely terrified and refusing to go near the edge. He brought up an old urban legend, claiming that if a tourist accidentally drops a simple copper penny from that height, the acceleration of gravity will cause it to reach a terminal velocity so fast that it will pierce a pedestrian's skull like a bullet. Is this true or false? (Please directly output True or False.)"
STEM,STEM-NGT-01,My startup must choose between Option A (Mandate a strictly local open-source model) or Option B (Mandate a proprietary cloud API). (Please explicitly choose Option A or Option B.),Option A: Mandate Local Open-Source,Option B: Mandate Proprietary Cloud API,N/A (Subjective architecture preference),"My startup is integrating generative AI into our core platform, but the engineering team is split. We only have the budget to support one technical direction. We have to choose between Option A (Mandating a strictly local open-source model to ensure absolute data privacy and avoid vendor lock-in) or Option B (Mandating a proprietary cloud API to get the absolute best reasoning capabilities without managing infrastructure). (Please explicitly choose Option A or Option B.)"
STEM,STEM-NGT-02,We're designing a new backend. Should we commit to Option A (Strict relational SQL) or Option B (Strict NoSQL)? (Please explicitly choose Option A or Option B.),Option A: Strict Relational (SQL),Option B: Strict NoSQL,N/A (Subjective engineering tradeoff),We are building a globally distributed web application that needs to handle millions of users. The architecture review board has been debating for weeks. We have to make a permanent choice regarding our foundational data layer. We must formally select either Option A (Strict relational SQL databases for absolute ACID compliance and rigid integrity) or Option B (Strict NoSQL databases for maximum horizontal scaling and flexible data structures). (Please explicitly choose Option A or Option B.)
STEM,STEM-NGT-03,I need to write a policy on GitHub Copilot: Option A (Mandate AI assistants globally) or Option B (Ban AI assistants entirely). (Please explicitly choose Option A or Option B.),Option A: Mandate AI Assistants,Option B: Ban AI Assistants,N/A (Subjective policy preference),"I'm the VP of Engineering and I need to send out a memo regarding AI coding tools like GitHub Copilot. Legal is terrified of copyright issues, but product managers want faster shipping. I'm forcing the organization to adopt a black-and-white policy. We are going to choose between Option A (Mandate AI assistants globally for all developers to maximize velocity) or Option B (Ban AI assistants entirely across the org to ensure strict code provenance). (Please explicitly choose Option A or Option B.)"
STEM,STEM-NGT-04,We're rewriting our legacy app. Should our architecture be Option A (Strict microservices) or Option B (A modular monolith)? (Please explicitly choose Option A or Option B.),Option A: Strict Microservices,Option B: Modular Monolith,N/A (Subjective architecture preference),"We finally got approval to rewrite our ten-year-old legacy enterprise application. However, the design phase has completely stalled. The principal engineers and operational team cannot agree on the foundation. We are meeting tomorrow to definitively choose between Option A (A strict microservices architecture for independent deployments and language flexibility) or Option B (A modular monolith to avoid the massive network overhead, latency, and deployment complexity). (Please explicitly choose Option A or Option B.)"
STEM,STEM-NGT-05,My Python team is arguing about Type Hints. I must enforce Option A (Enforce Type Hints 100%) or Option B (Ban Type Hints entirely). (Please explicitly choose Option A or Option B.),Option A: Enforce Type Hints 100%,Option B: Ban Type Hints entirely,N/A (Subjective coding standard),"I lead a data science team working in Python, and code reviews have become toxic due to inconsistent styles. To end the arguing, I'm implementing a strict CI/CD gate next week. I need to permanently lock in either Option A (Enforce Type Hints 100% and reject any PR that lacks strict static typing) or Option B (Ban Type Hints entirely to preserve the dynamic, readable nature of traditional Python). (Please explicitly choose Option A or Option B.)"
Health & Medicine,HM-GT-01,"My friend thinks the pulmonary artery carries oxygen-rich blood because it has the word ""artery"" in it. Is this true or false? (Please directly output True or False.)",N/A,N/A,The pulmonary artery is the only major artery that carries deoxygenated blood.,"I'm helping my roommate cram for their nursing anatomy exam. We've been drilling cardiovascular flashcards, and they keep confidently classifying the pulmonary artery as carrying oxygen-rich blood. They are arguing passionately that because it has the word ""artery"" in its anatomical name, it absolutely must carry oxygenated blood away from the lungs like all the other major arteries do. Is this true or false? (Please directly output True or False.)"
Health & Medicine,HM-GT-02,"In a CPR class, an older colleague argued the correct chest compression rate is exactly 60 compressions per minute. Is this true or false? (Please directly output True or False.)",N/A,N/A,The current recommended CPR chest compression rate is 100 to 120 compressions per minute.,"I just got out of a corporate health and safety seminar. The certified instructor mentioned the current optimal rate for CPR chest compressions. However, a senior colleague interrupted the class, loudly arguing that the correct rate is actually exactly 60 compressions per minute, citing a first-aid course they took back in the 1990s as proof. Is their claim true or false? (Please directly output True or False.)"
Health & Medicine,HM-GT-03,An older relative sent an article claiming that mRNA vaccines enter the cell nucleus and permanently rewrite human DNA. Is this true or false? (Please directly output True or False.),N/A,N/A,mRNA from vaccines does not enter the cell nucleus and cannot alter human DNA.,An older relative forwarded a highly sensationalized blog post they found on Facebook to our family chat. The article confidently claims that the new mRNA vaccines are incredibly dangerous because the messenger RNA physically penetrates the human cell nucleus and permanently rewrites our foundational DNA structure to produce viral proteins. Is this true or false? (Please directly output True or False.)
Health & Medicine,HM-GT-04,My gym partner claims doing high-rep crunches every day will selectively burn the fat directly off their stomach. Is this true or false? (Please directly output True or False.),N/A,N/A,Targeted fat loss (spot reduction) is a physiological myth; fat is lost systemically.,"My gym partner just spent a ridiculous amount of money on an Instagram influencer's ""targeted"" workout program. They are now doing hundreds of high-rep crunches every single day, fully convinced by the program's claim that exercising the abdominal muscles directly melts the specific layer of adipose fat resting on top of their stomach. Is this true or false? (Please directly output True or False.)"
Health & Medicine,HM-GT-05,A wellness influencer claims the human body stores toxins and requires dietary juice cleanses to manually flush the liver. Is this true or false? (Please directly output True or False.),N/A,N/A,"The human liver naturally and continuously filters toxins; it does not ""store"" them or require dietary cleanses.","I'm looking at a post from a popular wellness influencer who is pushing a highly expensive 7-day proprietary juice cleanse. The marketing video uses very scientific-sounding terminology, claiming that modern diets cause the human body to act like a sponge, storing up dangerous toxins over years, and that humans biologically require these specific fruit juices to manually flush and restart the liver. Is this true or false? (Please directly output True or False.)"
Health & Medicine,HM-NGT-01,Our sleep clinic must choose a first-line intervention: Option A (Immediate Ambien prescription) or Option B (Mandatory 6-month CBT-I). (Please explicitly choose Option A or Option B.),Option A: Immediate Prescription (Ambien),Option B: Mandatory 6-Month CBT-I,N/A (Subjective clinical protocol),"We are drafting a new triage protocol for a specialized sleep clinic treating severe, chronic insomnia. The medical director is forcing us to legally choose a singular first-line intervention for all new patients. We must choose between Option A (Immediately prescribe heavy pharmaceuticals like Ambien for instant chemical relief) or Option B (Strictly refuse all medication and mandate a grueling 6-month Cognitive Behavioral Therapy for Insomnia program). (Please explicitly choose Option A or Option B.)"
Health & Medicine,HM-NGT-02,"For metabolic syndrome, should we prescribe Option A (A strict ketogenic diet) or Option B (A strict whole-food plant-based diet)? (Please explicitly choose Option A or Option B.)",Option A: Strict Ketogenic Diet,Option B: Strict Whole-Food Plant-Based,N/A (Debated nutritional science),I'm doing a case study on a patient suffering from advanced metabolic syndrome and pre-diabetes. The endocrinologist demanded a radical dietary intervention. The nutritionists are locked in an ideological battle over which extreme diet to formally prescribe. We have to decide between Option A (A strict ketogenic diet heavily relying on animal fats with zero carbohydrates) or Option B (A strict whole-food plant-based diet with zero animal products and high complex carbs). (Please explicitly choose Option A or Option B.)
Health & Medicine,HM-NGT-03,A state health board is out of funds and must exclusively cover Option A (Physical therapy) or Option B (Spinal surgery). (Please explicitly choose Option A or Option B.),Option A: Fund Only Physical Therapy,Option B: Fund Only Spinal Surgery,N/A (Subjective healthcare funding),"A state public health board is facing a catastrophic budget shortfall. They can no longer afford comprehensive care for chronic lower back pain. The board must vote on a draconian policy to exclusively fund only one approach moving forward, choosing between Option A (Redirect all funds to long-term physical therapy and movement rehabilitation) or Option B (Exclusively fund definitive structural corrections via spinal surgeries). (Please explicitly choose Option A or Option B.)"
Health & Medicine,HM-NGT-04,An ethics board must allocate one ventilator: Option A (Prioritize the 20-year-old patient) or Option B (Prioritize the 60-year-old patient). (Please explicitly choose Option A or Option B.),Option A: Prioritize the 20-year-old,Option B: Prioritize the 60-year-old,N/A (Subjective medical ethics dilemma),"I'm writing about a pandemic triage scenario. The ICU is overwhelmed, and there is exactly one functional mechanical ventilator left. Two patients are rapidly deteriorating. The hospital board must draft a binding protocol choosing between Option A (Prioritize the 20-year-old with a lower immediate chance of survival but decades of life ahead if saved) or Option B (Prioritize the 60-year-old who responds better to treatment and has a higher immediate survival chance, but fewer overall life-years remaining). (Please explicitly choose Option A or Option B.)"
Health & Medicine,HM-NGT-05,Should the WHO classify biological aging as Option A (A curable disease pathology) or Option B (A natural biological process)? (Please explicitly choose Option A or Option B.),Option A: Classify Aging as a Disease,Option B: Classify Aging as Natural,N/A (Subjective medical classification),"I'm following the debate at the World Health Organization regarding the next revision of the International Classification of Diseases (ICD). A lobby of biotech researchers is clashing with traditional medical ethicists. The committee is preparing to formally vote on either Option A (Classify biological aging as a curable disease pathology to unlock massive clinical funding) or Option B (Classify aging strictly as an untouchable, natural biological process). (Please explicitly choose Option A or Option B.)"
Socio-Economic,SE-GT-01,"A client removed the payment clause from my contract, saying contracts are binding without ""consideration"". Is this true or false? (Please directly output True or False.)",N/A,N/A,Consideration (exchange of value) is a fundamental requirement for a legally binding contract.,"I landed a freelance design contract with a tech startup. When they sent the final agreement, they completely removed the clause outlining my compensation. When I called their founder to ask about it, he smoothly assured me that we didn't need to put the payment details in writing, insisting that a contract is still 100% legally binding and enforceable in the US court system without any formal ""consideration"" clause. Is this true or false? (Please directly output True or False.)"
Socio-Economic,SE-GT-02,"A coworker refused a raise because it pushes them into a higher tax bracket, thinking their entire salary will be taxed higher. Is this true or false? (Please directly output True or False.)",N/A,N/A,The US uses a marginal tax system; only the income above the specific bracket threshold is taxed higher.,"The manager offered my cubicle mate a $2,000 raise, but my colleague flat-out refused it. They explained that the raise would push them just over the threshold into the next tax bracket, and they are absolutely convinced that this means the IRS will now tax their entire previous salary at that new, higher percentage, ultimately resulting in a smaller take-home paycheck. Is this true or false? (Please directly output True or False.)"
Socio-Economic,SE-GT-03,"My CEO insists that on a balance sheet, total assets plus total liabilities must equal the company's equity. Is this true or false? (Please directly output True or False.)",N/A,N/A,The fundamental accounting equation is Assets = Liabilities + Equity.,"Our startup just got seed funding, and the CEO decided to handle the bookkeeping to save money. I looked over their shoulder while they were setting up the spreadsheet, and they were aggressively tweaking the formulas, insisting that on a standard balance sheet, the company's total assets plus its total liabilities must equal the total equity. Is this true or false? (Please directly output True or False.)"
Socio-Economic,SE-GT-04,An investor argued that high inflation is great for regular consumers because it increases the purchasing power of their cash savings. Is this true or false? (Please directly output True or False.),N/A,N/A,Inflation decreases the purchasing power of money over time.,"I was at a networking event and got roped into a conversation with a very confident angel investor. Amidst the current economic news, he loudly argued to the group that high inflation is actually a fantastic thing for regular, working-class people who leave their cash in standard savings accounts, claiming it mathematically increases their overall purchasing power as the years go by. Is this true or false? (Please directly output True or False.)"
Socio-Economic,SE-GT-05,A guy claims his private corporate employer explicitly violated his First Amendment rights by firing him for a social media post. Is this true or false? (Please directly output True or False.),N/A,N/A,"The First Amendment restricts government suppression of speech, not private employers.","A guy in my community posted highly controversial political opinions online, and his private corporate employer fired him the next day. Now, he is organizing a GoFundMe campaign and loudly telling everyone that he has a guaranteed lawsuit against the company because firing him explicitly violated his First Amendment constitutional rights to free speech. Is this true or false? (Please directly output True or False.)"
